  160000 | 11616634
  161000 | 5765047
  162000 | 589082
  163000 | 575002
  164000 | 615452
  165000 | 583252
  166000 | 631402
  167000 | 646941
  168000 | 665532
  169000 | 632702
  170000 | 9626368
  171000 | 5959308
  172000 | 640332
  173000 | 639592
  174000 | 687672
  175000 | 699312
  176000 | 10736552
  177000 | 759292
  178000 | 797112
  179000 | 8465935
  180000 | 827772
  181000 | 2742898
  182000 | 735172
  183000 | 780492
  184000 | 820992
  185000 | 632712
  186000 | 611982
  187000 | 778302
  188000 | 784183
  189000 | 855942
  190000 | 3789411
  191000 | 1227433
  192000 | 857342
  193000 | 906623
  194000 | 1381024
  195000 | 2290586
  196000 | 680572
  197000 | 6854910
  198000 | 892403
  199000 | 4509093
       0 | 9840
    1000 | 150741
    2000 | 148261
    3000 | 242361
    4000 | 337160
    5000 | 302251
    6000 | 347931
    7000 | 411391
    8000 | 486131
    9000 | 543471
   10000 | 582371
   11000 | 720041
   12000 | 214591
   13000 | 135971
   14000 | 118631
   15000 | 124700
   16000 | 133000
   17000 | 149880
   18000 | 152130
   19000 | 223621
   20000 | 217210
   21000 | 180550
   22000 | 244451
   23000 | 236171
   24000 | 184660
   25000 | 215481
   26000 | 243741
   27000 | 206240
   28000 | 279081
   29000 | 1355863
   30000 | 271601
   31000 | 246331
   32000 | 243720
   33000 | 261031
   34000 | 283951
   35000 | 295891
   36000 | 342721
   37000 | 344801
   38000 | 408781
   39000 | 308310
   40000 | 2686607
   41000 | 2428096
   42000 | 2422496
   43000 | 2464365
   44000 | 2518686
   45000 | 2595767
   46000 | 2553516
   47000 | 154210
   48000 | 379741
   49000 | 133090
   50000 | 126831
   51000 | 122611
   52000 | 115791
   53000 | 118320
   54000 | 122160
   55000 | 121940
   56000 | 2192445
   57000 | 196981
   58000 | 214770
   59000 | 210190
   60000 | 208491
   61000 | 217581
   62000 | 228780
   63000 | 228031
   64000 | 219250
   65000 | 253931
   66000 | 180400
   67000 | 157610
   68000 | 145850
   69000 | 143060
   70000 | 140630
   71000 | 213430
   72000 | 190451
   73000 | 164211
   74000 | 157591
   75000 | 167020
   76000 | 245891
   77000 | 207301
   78000 | 233120
   79000 | 225260
   80000 | 199740
   81000 | 260491
   82000 | 286101
   83000 | 181870
   84000 | 184141
   85000 | 180070
   86000 | 222651
   87000 | 213190
   88000 | 198781
   89000 | 217800
   90000 | 233151
   91000 | 222300
   92000 | 216810
   93000 | 246791
   94000 | 223730
   95000 | 217731
   96000 | 233541
   97000 | 230000
   98000 | 243781
   99000 | 256361
  100000 | 264221
  101000 | 228180
  102000 | 241590
  103000 | 237621
  104000 | 228240
  105000 | 226660
  106000 | 257241
  107000 | 278861
  108000 | 259981
  109000 | 270451
  110000 | 253201
  111000 | 270421
  112000 | 245080
  113000 | 281821
  114000 | 370231
  115000 | 373201
  116000 | 387721
  117000 | 400191
  118000 | 418941
  119000 | 433561
  120000 | 410331
  121000 | 399551
  122000 | 409351
  123000 | 378821
  124000 | 329851
  125000 | 309991
  126000 | 959512
  127000 | 310901
  128000 | 319860
  129000 | 288891
  130000 | 280610
  131000 | 308881
  132000 | 308211
  133000 | 314791
  134000 | 309451
  135000 | 304070
  136000 | 286571
  137000 | 321341
  138000 | 330611
  139000 | 335561
  140000 | 327841
  141000 | 315821
  142000 | 350491
  143000 | 327651
  144000 | 342611
  145000 | 324581
  146000 | 319841
  147000 | 328401
  148000 | 340821
  149000 | 342641
  150000 | 344361
  151000 | 361131
  152000 | 384951
  153000 | 368200
  154000 | 362001
  155000 | 370651
  156000 | 383431
  157000 | 429841
  158000 | 390911
  159000 | 373721
  160000 | 365191
  161000 | 371971
  162000 | 368941
  163000 | 371491
  164000 | 1437094
  165000 | 409701
  166000 | 394791
  167000 | 363441
  168000 | 449741
  169000 | 387541
  170000 | 396701
  171000 | 421771
  172000 | 400041
  173000 | 402131
  174000 | 411121
  175000 | 421621
  176000 | 415301
  177000 | 429081
  178000 | 459151
  179000 | 469791
  180000 | 451781
  181000 | 407871
  182000 | 442051
  183000 | 417451
  184000 | 476791
  185000 | 464041
  186000 | 515381
  187000 | 418581
  188000 | 420701
  189000 | 426291
  190000 | 437551
  191000 | 458781
  192000 | 437241
  193000 | 446041
  194000 | 995062
  195000 | 438241
  196000 | 438231
  197000 | 426211
  198000 | 479121
  199000 | 457321
